Month,EB_kWh,Solar_kWh,Total_kWh,EB_Percent,Solar_Percent
Mar-24,58380,14719,73099,79.86429363,20.13570637
Apr-24,61460,14371,75831,81.04864765,18.95135235
May-24,63340,12198,75538,83.85183616,16.14816384
Jun-24,54200,12052,66252,81.80885105,18.19114895
Jul-24,56240,9362,65602,85.72909363,14.27090637
Aug-24,60960,10775,71735,84.97943821,15.02056179
Sep-24,60000,11745,71745,83.62952122,16.37047878
Oct-24,65600,10702,76302,85.97415533,14.02584467
Nov-24,60960,10612,71572,85.17297267,14.82702733
Dec-24,57860,10757,68617,84.32312692,15.67687308
Jan-25,56760,13121,69881,81.22379474,18.77620526
Feb-25,63040,14050,77090,81.77545923,18.22454077
Total,718800,144464,863264,83.26537421,16.73462579
